-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2021 
Location: Latitude  10.5995   Longitude 7.9969 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 703.67 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M               MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX            MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN            MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE          MERRA-2 Temperature at 2 Meters Range (C) 
WS10M_MAX          MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN          MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
PRECTOTCORR        MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SRF_ALB     CERES SYN1deg All Sky Surface Albedo (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS10M_MIN,2018,0.34,0.23,0.09,0.46,0.11,0.29,0.11,0.13,0.06,0.16,0.1,0.88,0.06
WS10M_MIN,2019,0.57,0.41,0.06,0.15,0.1,0.19,0.17,0.12,0.07,0.3,0.09,1.77,0.06
WS10M_MIN,2020,0.12,0.91,0.05,0.23,0.11,0.09,0.11,0.23,0.16,0.14,1.63,1.32,0.05
WS10M_MIN,2021,1.39,0.3,0.12,0.2,0.15,0.13,0.24,0.15,0.07,0.11,0.73,1.56,0.07
PRECTOTCORR,1981,0.0,0.01,0.06,3.06,2.45,7.62,11.64,6.99,7.36,2.44,0.02,0.0,3.49
PRECTOTCORR,1982,0.01,0.51,1.45,1.86,7.16,8.92,6.26,9.85,9.96,2.98,0.14,0.0,4.11
PRECTOTCORR,1983,0.0,0.01,0.2,0.26,4.19,4.7,13.47,16.01,9.57,2.46,0.02,0.09,4.29
PRECTOTCORR,1984,0.0,0.0,0.61,2.84,5.08,6.04,9.64,7.92,11.74,3.33,0.11,0.02,3.95
PRECTOTCORR,1985,0.0,0.0,1.42,1.52,4.27,7.13,10.21,8.2,6.42,2.25,0.02,0.0,3.48
PRECTOTCORR,1986,0.0,0.02,0.65,2.62,5.52,6.23,11.77,11.94,10.04,3.61,0.88,0.01,4.47
PRECTOTCORR,1987,0.0,0.12,0.63,0.48,1.76,8.33,9.35,13.02,7.59,2.99,0.06,0.03,3.72
PRECTOTCORR,1988,0.0,0.06,0.37,3.47,4.36,9.59,13.31,15.68,11.21,1.76,0.01,0.03,5.0
PRECTOTCORR,1989,0.0,0.0,0.02,2.29,5.33,9.93,14.44,14.33,9.77,4.45,0.0,0.0,5.08
PRECTOTCORR,1990,0.0,0.06,0.0,1.59,7.79,6.99,9.52,9.15,6.41,3.16,0.4,0.21,3.8
PRECTOTCORR,1991,0.0,0.07,0.33,3.27,8.06,6.99,10.42,12.3,4.77,1.71,0.2,0.0,4.04
PRECTOTCORR,1992,0.0,0.0,0.11,3.4,7.22,9.35,11.58,12.18,9.62,3.02,0.01,0.0,4.72
PRECTOTCORR,1993,0.0,0.0,0.32,1.72,6.63,8.68,15.23,12.07,7.09,3.06,0.14,0.0,4.62
PRECTOTCORR,1994,0.06,0.01,0.02,3.97,5.24,10.71,12.89,13.98,10.98,5.94,0.01,0.0,5.35
PRECTOTCORR,1995,0.0,0.09,0.27,3.42,5.21,10.2,11.98,14.6,9.92,3.76,0.17,0.0,5.0
PRECTOTCORR,1996,0.0,0.01,0.62,1.57,6.75,9.6,13.17,14.23,10.59,3.13,0.0,0.0,4.99
PRECTOTCORR,1997,0.0,0.0,1.48,3.25,7.63,12.32,9.41,12.07,7.85,2.85,0.12,0.0,4.78
PRECTOTCORR,1998,0.01,0.03,0.0,4.64,7.25,9.86,11.09,14.03,12.92,2.06,0.0,0.0,5.18
PRECTOTCORR,1999,0.0,0.0,0.11,0.8,3.86,3.54,2.18,3.39,2.96,3.27,0.09,0.0,1.69
PRECTOTCORR,2000,0.0,0.0,0.28,0.75,5.76,16.02,16.92,10.05,8.57,7.37,0.04,0.0,5.5
PRECTOTCORR,2001,0.0,0.0,0.17,4.02,7.83,9.57,11.74,12.97,6.91,0.54,0.59,0.01,4.56
PRECTOTCORR,2002,0.0,0.0,0.58,5.01,3.59,6.31,10.65,9.45,8.65,3.25,0.0,0.0,3.98
PRECTOTCORR,2003,0.0,0.44,0.0,2.81,1.91,5.21,8.0,7.89,9.11,3.15,0.01,0.03,3.22
PRECTOTCORR,2004,0.05,0.0,0.0,2.44,7.42,3.06,4.83,4.31,2.16,0.34,0.04,0.0,2.07
PRECTOTCORR,2005,0.0,0.0,0.03,1.18,2.14,6.17,4.04,6.17,7.34,1.46,0.0,0.0,2.38
PRECTOTCORR,2006,0.03,0.07,0.12,0.15,2.24,1.47,2.53,14.58,3.37,0.61,0.01,0.0,2.13
PRECTOTCORR,2007,0.0,0.06,0.39,2.01,4.27,8.9,11.25,15.79,6.64,2.03,0.05,0.01,4.32
PRECTOTCORR,2008,0.02,0.0,0.06,0.4,2.81,3.34,8.97,11.0,7.16,1.92,0.0,0.02,2.99
PRECTOTCORR,2009,0.0,0.0,0.01,1.46,2.59,3.45,6.58,8.53,3.59,1.1,0.11,0.0,2.31
PRECTOTCORR,2010,0.01,0.01,0.03,0.43,2.45,7.24,9.55,8.1,10.07,2.9,0.08,0.0,3.42
PRECTOTCORR,2011,0.0,0.01,0.0,0.36,3.28,2.74,4.77,9.34,7.11,2.35,0.0,0.0,2.52
PRECTOTCORR,2012,0.01,0.0,0.0,1.6,6.63,9.04,10.34,12.8,11.01,3.21,0.02,0.01,4.57
PRECTOTCORR,2013,0.11,0.07,0.38,0.64,1.25,2.82,7.2,7.71,2.73,1.53,0.13,0.02,2.07
PRECTOTCORR,2014,0.01,0.07,0.31,2.96,2.51,3.84,5.86,9.55,7.1,1.21,0.05,0.0,2.8
PRECTOTCORR,2015,0.0,0.01,0.06,0.07,0.37,2.89,11.85,17.72,9.9,1.88,0.0,0.0,3.77
PRECTOTCORR,2016,0.0,0.0,1.22,5.32,4.23,5.07,11.03,8.55,11.67,1.75,0.0,0.0,4.08
PRECTOTCORR,2017,0.0,0.0,0.0,1.11,7.6,9.9,13.88,9.55,3.31,0.28,0.0,0.0,3.84
PRECTOTCORR,2018,0.0,4.69,0.01,0.14,6.83,5.55,8.81,7.86,5.86,1.52,0.0,0.0,3.43
PRECTOTCORR,2019,0.0,0.0,1.41,0.46,3.01,3.05,7.61,11.73,4.27,5.05,4.37,0.0,3.45
PRECTOTCORR,2020,0.0,0.0,10.06,34.99,14.55,5.56,31.07,13.49,10.13,1.99,1.25,0.0,10.28
PRECTOTCORR,2021,0.0,0.0,6.29,1.43,26.31,47.57,58.5,35.72,37.98,13.25,6.9,7.81,20.28
ALLSKY_SRF_ALB,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SRF_ALB,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SRF_ALB,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SRF_ALB,1984,0.29,0.26,0.26,0.23,0.21,0.25,0.27,0.23,0.23,0.25,0.23,0.24,0.24
ALLSKY_SRF_ALB,1985,0.22,0.29,0.27,0.23,0.23,0.24,0.24,0.23,0.22,0.23,0.22,0.26,0.24
ALLSKY_SRF_ALB,1986,0.25,0.22,0.24,0.22,0.24,0.26,0.29,0.26,0.23,0.22,0.21,0.23,0.24
ALLSKY_SRF_ALB,1987,0.27,0.23,0.25,0.27,0.23,0.22,0.25,0.26,0.23,0.23,0.23,0.23,0.24
ALLSKY_SRF_ALB,1988,0.23,0.23,0.24,0.24,0.23,0.21,0.23,0.2,0.23,0.2,0.21,0.23,0.23
ALLSKY_SRF_ALB,1989,0.26,0.25,0.27,0.24,0.23,0.15,0.22,0.2,0.19,0.2,0.19,0.18,0.21
ALLSKY_SRF_ALB,1990,0.2,0.2,0.27,0.23,0.2,0.2,0.22,0.2,0.2,0.2,0.2,0.19,0.21
ALLSKY_SRF_ALB,1991,0.2,0.2,0.23,0.22,0.21,0.2,0.22,0.22,0.2,0.2,0.2,0.21,0.21
ALLSKY_SRF_ALB,1992,0.25,0.24,0.23,0.24,0.21,0.26,0.25,0.23,0.15,0.2,0.2,0.23,0.23
ALLSKY_SRF_ALB,1993,0.24,0.23,0.23,0.23,0.19,0.2,0.22,0.22,0.21,0.2,0.2,0.22,0.22
ALLSKY_SRF_ALB,1994,0.23,0.24,0.21,0.2,0.2,0.2,0.23,0.21,0.2,0.2,0.22,0.23,0.21
ALLSKY_SRF_ALB,1995,0.22,0.23,0.23,0.24,0.21,0.2,0.21,0.2,0.19,0.2,0.21,0.22,0.21
ALLSKY_SRF_ALB,1996,0.19,0.23,0.24,0.23,0.22,0.21,0.23,0.23,0.2,0.19,0.21,0.23,0.22
ALLSKY_SRF_ALB,1997,0.21,0.24,0.2,0.21,0.21,0.21,0.23,0.2,0.2,0.18,0.19,0.21,0.21
ALLSKY_SRF_ALB,1998,0.22,0.2,0.23,0.22,0.17,0.21,0.23,0.21,0.18,0.2,0.21,0.23,0.21
ALLSKY_SRF_ALB,1999,0.21,0.19,0.21,0.23,0.22,0.2,0.2,0.19,0.2,0.2,0.21,0.24,0.21
ALLSKY_SRF_ALB,2000,0.22,0.24,0.25,0.24,0.2,0.2,0.22,0.21,0.23,0.2,0.21,0.23,0.22
ALLSKY_SRF_ALB,2001,0.17,0.19,0.21,0.19,0.17,0.18,0.19,0.17,0.16,0.15,0.17,0.17,0.17
ALLSKY_SRF_ALB,2002,0.18,0.19,0.2,0.19,0.18,0.16,0.16,0.16,0.15,0.15,0.16,0.17,0.17
ALLSKY_SRF_ALB,2003,0.17,0.18,0.19,0.2,0.2,0.17,0.2,0.18,0.14,0.16,0.16,0.16,0.17
ALLSKY_SRF_ALB,2004,0.16,0.18,0.2,0.2,0.19,0.17,0.17,0.16,0.14,0.15,0.15,0.15,0.17
ALLSKY_SRF_ALB,2005,0.17,0.19,0.2,0.19,0.19,0.16,0.17,0.18,0.15,0.15,0.16,0.16,0.17
ALLSKY_SRF_ALB,2006,0.16,0.18,0.19,0.2,0.19,0.16,0.16,0.17,0.15,0.16,0.16,0.16,0.17
ALLSKY_SRF_ALB,2007,0.16,0.18,0.2,0.2,0.19,0.18,0.19,0.18,0.15,0.16,0.16,0.16,0.17
ALLSKY_SRF_ALB,2008,0.16,0.16,0.2,0.19,0.19,0.18,0.19,0.19,0.16,0.16,0.16,0.16,0.17
ALLSKY_SRF_ALB,2009,0.17,0.2,0.19,0.2,0.18,0.18,0.19,0.16,0.16,0.16,0.15,0.17,0.17
ALLSKY_SRF_ALB,2010,0.17,0.18,0.2,0.2,0.19,0.16,0.19,0.19,0.16,0.17,0.16,0.17,0.18
ALLSKY_SRF_ALB,2011,0.17,0.2,0.2,0.2,0.19,0.16,0.17,0.19,0.15,0.16,0.16,0.16,0.17
ALLSKY_SRF_ALB,2012,0.16,0.19,0.19,0.2,0.2,0.16,0.17,0.19,0.16,0.16,0.16,0.16,0.17
ALLSKY_SRF_ALB,2013,0.16,0.18,0.2,0.19,0.19,0.18,0.16,0.16,0.14,0.16,0.16,0.16,0.17
ALLSKY_SRF_ALB,2014,0.17,0.16,0.2,0.2,0.19,0.17,0.17,0.17,0.15,0.16,0.16,0.16,0.17
ALLSKY_SRF_ALB,2015,0.16,0.2,0.2,0.19,0.19,0.17,0.19,0.16,0.15,0.16,0.16,0.15,0.17
ALLSKY_SRF_ALB,2016,0.16,0.16,0.2,0.19,0.19,0.19,0.2,0.19,0.16,0.16,0.16,0.16,0.17
ALLSKY_SRF_ALB,2017,0.16,0.16,0.19,0.19,0.18,0.16,0.17,0.18,0.15,0.15,0.16,0.16,0.17
ALLSKY_SRF_ALB,2018,0.15,0.18,0.21,0.19,0.2,0.17,0.18,0.19,0.16,0.16,0.16,0.16,0.17
ALLSKY_SRF_ALB,2019,0.17,0.18,0.2,0.2,0.19,0.18,0.17,0.19,0.16,0.16,0.17,0.16,0.18
ALLSKY_SRF_ALB,2020,0.16,0.16,0.2,0.2,0.2,0.18,0.19,0.17,0.16,0.16,0.17,0.17,0.18
ALLSKY_SRF_ALB,2021,0.16,0.17,0.2,0.19,0.19,0.16,0.18,0.16,0.15,0.16,0.16,0.15,0.17
